USER,STAR,DATE,LIKE,REVIEW
류태광, 1,2021-03-16,18,별 한개도 아깝다.2년 약정때는 6기가 사용중에 매달 5기가만 쓰고 1기가는 그냥 날렸는데..2년 약정후에 노트9 기기값 잔금 남아서 1년약정으로 쓰고 있는데 매달 5기가로 한달을 썼는데 1년약정후에는 10일만에 6기가 오링되고 .6기가 리필받아서 또 10일되면 오링된다.인터넷검색이나 동영상을 항상 똑같이 보는데 1년약정 한후에는 데이타는 깎이는데 검색 연결은 오래있다가 연결되니 유투브는 속도가 느려서 접속도 안되고 동영상은 거의 못본다..인터넷검색만 가능해진다. 이런 엉터리가 어딨냐.114에 문의 전화했더니 상담사가 데이타요금제를 추가해서 용량을 올리랜다.
Da Hae Jeong, 1,2021-04-10,0,서비스 이용이 원할하지 않습니다 라며 어제부터 안들어가져요. 오늘 아침 다시해도 안되고. 뭔문제입니까?
정덕환, 1,2021-03-31,3,갤럭시 절전모드에서 왜 안됩니까? 백그라운드 허용시켜둬도 계속 절전 풀라하고 절전모드에서 위젯좀 되도록 만들어 주세요
람사, 1,2021-04-11,1,하..엘지 이제 폰도 망해서 안하는데 괜히 엘지로 옮겨가지고 데이터 속도는 5G가 3G급이고 실내에 있으면 잘 터지지도 않는 이런 5G 처음이네요^^
김보윤, 1,2021-04-07,1,알림 떠서 봤더니 광고를 띄운다고?? 진짜 대가리에 총맞으셨어요?? 뭔생각을 해야 고객센터가 광고알림을 띄웁니까??
la miran, 1,2021-04-16,1,U+가 와이파이 제일 느린듯 ㅠ
이규현, 1,2021-04-05,0,계속 서비스 이용이 원활하지 않다고 뜨네요 와이파이로 하고 데이터 켜서 해봐도 접속할 수가 없어요
신윤빈, 1,2021-03-21,12,인터넷 연결 문제 없는데 아무런 오류 메시지 없이 접속이 안 됩니다. 약정 끝나면 꼭 다른 통신사 사용하겠습니다.
냥냥펀치, 1,2021-03-06,36,"결제정보를 변경하려고하는데 U+ 통신망 이용고객이 아니면 인증할 방법이 없네요.(x같은 아이핀 인증은 제외합시다.) PC로 접속하는 홈페이지에서도 언제적 NPAPI 설정을 안내하고있고, NPSKComm 플러그인은 검색해도 안나옵니다. UI만 리뉴얼하면 뭐합니까. 사용하는데 답답해서 글 남깁니다."
성시내, 1,2021-03-21,5,지금 앱이 켜지지가 않고 계속 닫기는데요? 얼마전부터 로그인 안되서 앱 지우고 다시 깔았는데 .. 이게 뭐하는짓인지..
khai kin, 1,2021-03-16,0,1년전쯤 5g 시작한다고 기지국 늘린다고 불편해도 참아달라고 하더니 지금까지 5g다운 5g를 못쓰고있다 5g잠깐뜨고 다시4g 접속 진짜 속상하다 유플러스는 진짜 각성해라 이런식으로하면 안돼 이럴거면 요긍제를 더내리던지해야지 고객이 봉이냐 괜히 4g에서 넘어왔다 싶다 진짜
송종복, 1,2021-05-11,0,서울 1호선은 터지지도 않는 유플러스
로켓라쿤, 1,2021-04-10,1,3일전부터 서비스 이용이 원활하지 않습니다. 잠시 후에 다시 접속해 주시기 바랍니다.라고 계속 뜨면서 앱이 안켜지네요.
이명주, 1,2021-02-18,19,위젯이 새로고침할려고 누르면 데이터에 접속하라는데 이게머죠??? 데이터에는 당연히 접속되있는데;;;;;데이터용량 알아야되는데 있으나마나한 위젯이네요 빨리 고쳐주세요!!!!!
유애나, 1,2021-02-19,15,앱이 잘열리지 않아 오류 많고 고객센터 직원들 테도도 불량함 질문만 하면 저희가 관여할 사항이 아니다라는 앵무새 대답만하고 진짜 맘에 안드는거 투성이다 또 앱보면 필요한정보 잘기제해 놓지도 않고 찾기어렵게 해놓고 고객센터에 해지관련문의로 전화넣음 통신사든 대리점이든 손해안보려 시간끌려고 서로 미루기 바쁨 그리고 처리안해주니 전화자주 한거가지고 고객센터 전화하니 직통으로 연결안되고 대리점으로 전화 돌려버림 대리점통해 해결이 안되니 고객센터 전화하는거잖아 또 클래임 거니까 대리점측도 태도불량하고 이러니 고객센터 연결되겠음? 대리점이랑 싸움만 나지 ㅡㅡ 고객센터랑 전화하려면 대리점측에 고객센터 연결해달라해야 고객센터 연결됨ㅋㅋ 10년 넘게 lg만 썼는데 이번 해지관련문의로 lg에게 정말 실망함 lg이제 거르고 다른 통신사로 옮길꺼다 기간 아직 1년이나 남았는데 빨리 기간 지나갔음 좋겠다 갈아타고 싶어도 갈아타지도 못하고 불편함 lg 인터넷보니 나랑 비슷한이유로 소비자 불만많던데 정신차리길
정순찬, 5,2021-03-26,1,유플 고객센터 앱에 안들어가지네요 데이터가 느려져 용량때문인가 싶어 요금제 바꿀까 해서 들어가니 안들어가져요 확인 부탁 드려요
진파, 1,2021-04-23,1,이정도면 고객센터 쓰지말라는거지;;;
이형덕, 1,2021-03-26,4,서비스가 원활하지 않습니다 라는 문구가 뜨며 2주째 접속안되네요 내 정보는 어디서 보라는건지 참...
민준홍, 1,2021-05-27,1,Lgu+쓰레기다 진짜 5g터진다고 뜨는데 어떻게 웹툰도 로딩걸리지? 다음에 무조건 kt쓴다
왕꽃잎, 1,2021-02-21,3,별 하나도 아깝네요 무한 로딩입니다 들어가서 뭐좀 볼라고 하면 계속 로딩 ... 잘되다가 어느순간 갑자기 이러네요 어플로 요금조회랑 이것저것 했었는데 짜증나요
황준일, 1,2021-03-17,2,아니 서비스이용이원활하지않습니다 잠시후다시접속해주시기바랍니다 계속뜨는대 머가문제임ㅡㅡ
peng luvyoo, 1,2021-04-01,1,접속이 계속 안되고 튕겨요 삭제후 다시 깔았는데도 또 안되네요 수정해주세요
안승주, 1,2021-02-11,29,앱에 접속 좀 되게 해주세요. 10번 클릭하면 1번 접속될까말까 합니다. 모든 휴대폰에서 똑같은 현상 발생하고 왜 오류 점검을 안하나요?
불꽃예찬, 1,2021-02-23,4,웬만하면 리뷰안다는데.. 다른어플 다 정상으로돌아가는데 유독 유플러스 고객센터어플만 미친듯이 느리고 연결이 어려워요 뭐하나 확인할라면 오래기다려야하네요
서준석, 1,2021-02-15,3,"이벤트 정보만 잔뜩이고..정작 데이터 사용량 같은 내 정보는 오류나서 보이지도 않고..정말 오래 써 왔는데, 해지할 때가 되었구나..갈아타야하나..ㅡㅡ"
B ugsy, 1,2021-01-21,63,앱에 문제가 있다기보다는 u+ 자체에서 필요한정보를 일부러 찾기 힘들게 해놓았다는 느낌이 강하게 드는 어플이다 저렴하게 핸드폰 쓰고 싶으면 u+는 비추
taemin yi, 1,2021-03-02,32,유플러스 봇 아이콘이 보고자하는 정보를 가리고 있어서 어떻게 해도 화면을 볼 수가 없습니다. 상식적으로 이런 아이콘은 위치 이동이 가능해야 하지 않나요?
tae kyoung lee, 1,2021-03-10,0,"PIN유효기간이 만료되서 다시등록하라는 메세지에 따라 본인확인하고 PIN등록하려니 PIN유효기간이 만료되었다고하고 다시 본인확인, PIN유효기간만료 무한반복이네요"
김주연, 1,2021-03-06,0,제가 데이터 무제한이고 남편이 낮은 데이터를 써서 제가 데이터를 줘야하는데 1분씩 기다려서 1GB씩 주기가 힘드네요. 한 번에 데이터 10GB씩 줄 수 있게 해 주셨으면 좋겠네요.
SH L, 1,2021-01-21,16,회원가입조차 제대로 되지않는 미친앱? 인터넷 사용보류 1년 연장 가능하다고 해놓고선 3개월 후부터는 결재해버리는 미친회사?
오앙, 1,2021-02-22,2,데이터 3g는 아예 접속이 안됨 데이터 느려도 접속은 돼야 뭘 하지..^^ 이렇게 데이터 필요한 고객센터도 드물것
곽효정, 4,2021-03-31,0,2021년 3월30일 오후10시부터 3월 31일 새벽2시까지. 인공지능 스피커.누구쓰고 잇는데요. 요새선전하는데요. 전 첨나왓을때 10년전부터 원래 큰거엿는데 미니로 5년전에.나와서 미니로 쓰고 잇는데요. 일할때 에그로 멜론음악으로 연결해서 쓰고잇는데요.갑자기 음악이 안나서 버튼 클릭해도 안나와서 에그 배터리 빼고ㅡ폰도 재부팅햇는데 음악이 안나와서 누구들어가니깐. 먹통이고. 헐로키티 블루투스스피커로 연결햇더니 첨엔 2초 그담 5초 그담 12초 그담 1곡씩 그담 2곡씩 한곡씩 넘어가고 지니음악은 아에 안먹히고. 당연히 멜론.지니에 썻구요. 한참 걸렷네. 혹시나 해서 인공지능.블루투스스피커.다끄고.폰에네이버.유투브동영상.g마켓.gs편의점.모든타사이트들이 모드속도가 먹통에 안들어가져요ㅜㅜ 지금LG폰 문제잇는거 맞죠? 오늘g마켓 출첵마지막날인데 오늘까지인데 오늘새벽12까지 업글 안되면포인트300포인트물러주세요ㅜㅜ 빨리 업글 시키세요!! 아낭!캐 짜증 이빠이네요ㅜㅜ
심준보, 3,2021-06-04,0,유심이 안된다고하는데 앱을 업테이트해서 되게 해주세요 로그인이 안되요 ㅜㅜ
양용필, 1,2021-02-14,3,너무 무거운 웹 100 배 큰 사이트보다 느리고 무겁고 클릭 마다 모든 인터페이스가 중복 해서 움직임 웹의 완성도가 현저히 낮음 전문성을 고려했음 합니다
Xenon41, 5,2021-03-09,4,뭐... 옛날보단 나아지긴 했다 몇년됐긴 했지만 그때는 속도는커녕 앱도 번잡스러웠는데 지금은 훨씬 깔끔해지고 보기 편함
박성훈, 1,2021-01-31,7,열리지가않아요 삼일째 어플를 열여고해도 열리지가않네 참 뭐한 어플 삼개월이 지나도 여전히 실행이안되는거지같은어플
방개, 3,2021-02-05,12,헬로모바일 알뜰폰 유플러스로 사용중인데 회원가입을 했는데 가입정보가 없다고 뜨는데 알뜰폰은 고객센터를 쓸수 없는건가요???
Sungyong Kim, 1,2021-03-20,0,접속이 원활하지 않다고 접속이 안됩니다. 왜 그런지 알수있을까요?
Mont Blanc, 1,2021-04-03,0,아무리 중소기업이지만 이렇게 앱관리 허술하면 다음에는 통신사 바꿔야 겠네요.
홈카페, 5,2021-01-27,10,추억의 U+핸드폰이라 좋고 안되거나 렉걸리면 불편한점많아서 저장된파일이나 데이터많이지울겁니당 함께제작자님 응원할께용~~♡♡
윤광순, 3,2021-05-22,0,다른것은모르는대 대이터상태가안좋아요
문디짜슥, 1,2021-02-04,7,데이터주기 클릭을 도대체 몇번이나 눌러야합니까? 앱 느리고 개판이네요. 일부러 이렇게만든건지.
리체, 1,2021-02-22,1,데이터가 몇%남았는지 확인하려고 하는데 계속 로그인을 하라더라구요 그점좀 고쳐주세요ㅠㅠ
장현경, 1,2021-05-11,0,진짜 어플 운영자 바꾸세요 너무 한거아닌가요? 방치하는건지
콩이, 1,2021-03-31,0,앱덧글이란걸첨달아봅니다 와..넘안들어가집니다 이거진짜개선해야할듯
sarami Da, 1,2021-04-07,0,위젯도 안되고 접속도 안되요 어제부터
이영현, 1,2021-03-05,2,업데이트 이후에 데이터 무제한인데 앱이 데이터 연결안된다고 안열립니다
-씹건k, 2,2021-03-23,0,11안드로이드 벨벳인데 고객센터 하나은행 다 팅김니다 빠른 개손 부탁드립니다.
호야, 1,2021-04-25,0,조회하려해도ᆢ접속이되야하지ㅡㅡ
임상훈, 1,2021-04-14,0,최악이네 아주 켜지지도않고 고칠생각도안하고 두번다신 엘지안쓰련다
안탱, 3,2021-02-04,3,어느순간부터 고객센터 앱이 열리지않네요 저만 그런건가요?
난너무 이쁜게 탈이야, 1,2021-04-09,1,씨 바 ㄹ 더럽게 안 됨... SK 쓰다 왔는데 LG 개 구려서 못 쓰겠네..맨날 천날 앱 끊겨서 새로 다운 받음..
전용술, 1,2021-02-22,2,접속 시간 넘 느려서 ~~~ 짜증~~ 타사대비 속도 저하 ~~
정경훈, 1,2021-04-07,0,안들어가져서 지우고 다시 깔아도 안들어가져요 ㅡㅡ
김히처리, 5,2021-02-26,0,편리하고 간편하게 모든내역을 볼수 있어 좋아요
하이롱, 1,2021-06-07,3,아진짜 왜케안되요 자꾸USIN으로 확인하라하는데 아무이상도없다하고 도대체어떻게하라는겁니까?
박용운, 2,2021-01-21,3,너무 느리고 간편한지도 모르겠고 나름 장기고객인데 불편합니다
어쫄, 1,2021-03-10,1,"이 쓰레기들이ㅋㅋ 5g 라이트 9기가짜리가 같은 금액에 5g 라이트+로 바꼈으면 데이터도 12기가로 당연히 올려야지, 요금제 확인 안했으면 같은 돈 주고도 3기가 덜 받는거 계속 몰랐겠네ㅋㅋ 양아치들이네 완전"
이ᄋ, 1,2021-05-29,0,앱을 10분째 못열고있네요ㅠ
kunwoo lee, 1,2021-03-29,0,접속이 안되는데 고치지도 않네
유정훈, 1,2021-06-12,0,광고성 홍보물 그만 좀 보내세요
우정, 1,2021-05-22,0,아니 실행도 안되는거 만다고 만들었어요?
신대식, 1,2021-03-09,0,간편등록했어요...로그인이 안되ㅣ요
갓혁, 1,2021-04-03,0,로딩속도 고치라고 돈벌어서 뭐하는데
Sinwoo Kim, 1,2021-01-28,1,답답하네요 문제가 전혀 해결이 안되었습니다
배점숙, 5,2021-03-28,1,폰 설정부터 변경 개인정보까지 앱 하나로 다 볼수있어 이렇게 편할수가~굿짱
Jasem Alzaher, 3,2021-01-28,0,S21 울트라에서 너무 느려요.
문성혜, 1,2021-05-01,0,업데이트도 안되는앱 ..진짜 노답입니다..
도형진, 1,2021-01-25,0,다른폰은 잘되는데 안되네요ㅡㅡ
임정옥, 1,2021-02-06,0,별하나도 아까움 로그인 불통
이정빈, 1,2021-06-02,0,아니 유싱 인식이 왜안돼 댓글 마다 어떻게하라고 하는것도 다다르고 왜안되는거여 알려준대로 했는데도 안되는데 왜그러는겨 간편로그인 아짜증나네
kim eunji Kim, 1,2021-05-18,1,수도권에서 티비도 인터넷도 데이터도 안터지는 상황인데 기술점검부터 하시는게 맞지 않을까 싶네요 한달에 10만원 넘게 요금 납부하고 있는데 고객센터 전화해도 해줄수있는 보상이 몇만원 요금 깍아주겠다고 하시는건 불합리하지 않나요?
